"","X.1","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X1","X2"
"1364",2058,"MSTRG.28081|RAB6B",4619.30236809617,-1.21368380743781,0.266038761612829,-4.56205629615771,5.06550601194651e-06,0.000108797617463586,"MSTRG.28081","RAB6B"
"1366",2061,"MSTRG.24344|LINC00652",23.76022454233,-1.00339689521928,0.220057097452439,-4.55971157865583,5.12239248167011e-06,0.000109859287954771,"MSTRG.24344","LINC00652"
"1374",2071,"MSTRG.25451|UMODL1-AS1",30.3712380845493,-1.12294153509293,0.246631465009886,-4.55311545527217,5.28572450312082e-06,0.000112814869380467,"MSTRG.25451","UMODL1-AS1"
"1376",2073,"MSTRG.4315|MPP7",153.679685244555,-1.1951497360093,0.262533385857485,-4.55237238534714,5.30443371338818e-06,0.000113104958513837,"MSTRG.4315","MPP7"
"1382",2080,"MSTRG.36116|TMEM130",5299.81986971776,-1.1661128643867,0.256381542527212,-4.5483495141345,5.40682851915132e-06,0.000114900304905542,"MSTRG.36116","TMEM130"
"1385",2086,"MSTRG.20688|SHANK1",619.929541317695,-1.34236399901537,0.295227837089446,-4.54687475357776,5.44483773189734e-06,0.000115375224077338,"MSTRG.20688","SHANK1"
"1386",2090,"MSTRG.24974|HAR1B",44.5057497369523,-1.17539593323951,0.258679739302283,-4.54382680456466,5.52420522460959e-06,0.000116832975759901,"MSTRG.24974","HAR1B"
"1387",2091,"MSTRG.6658|RCOR2",89.048824047328,-1.11328176562127,0.24501765485839,-4.5436797861146,5.52806139679303e-06,0.000116858617819725,"MSTRG.6658","RCOR2"
"1389",2095,"MSTRG.34294|COL10A1",21.3246275129286,-1.69477921941712,0.373083376867427,-4.54262860395237,5.55570821062711e-06,0.00011721881352083,"MSTRG.34294","COL10A1"
"1391",2098,"MSTRG.27759|GAP43",5378.39292517562,-1.20602203847032,0.265699136673141,-4.53905140065979,5.65078615236548e-06,0.00011905436106142,"MSTRG.27759","GAP43"
"1392",2099,"MSTRG.21292|VSNL1",6781.67204908264,-1.33115013096977,0.293331667706411,-4.53803757834319,5.67801439216663e-06,0.000119571030091734,"MSTRG.21292","VSNL1"
"1393",2100,"MSTRG.5765|KRTAP5-AS1",415.712211193325,-1.3472256735633,0.29703824434017,-4.53552934422968,5.74591881815423e-06,0.000120943382666692,"MSTRG.5765","KRTAP5-AS1"
"1396",2103,"MSTRG.16919|CDC6",35.9448253859898,-1.3470172914986,0.297089508834517,-4.53404530096989,5.7864610124066e-06,0.000121622990808558,"MSTRG.16919","CDC6"
"1402",2115,"MSTRG.9257|PPFIA2",616.399435742073,-1.20049256745723,0.265213899037206,-4.52650698856781,5.99666171377355e-06,0.000125325976866297,"MSTRG.9257","PPFIA2"
"1404",2117,"MSTRG.27826|STXBP5L",695.51707886482,-1.56123991617958,0.344959642038139,-4.52586252396147,6.01496736722755e-06,0.000125589791009066,"MSTRG.27826","STXBP5L"
"1407",2121,"MSTRG.22512|FHL2",200.066895832003,-1.05230044921377,0.232761619010709,-4.52093628531325,6.15667181598065e-06,0.000128306085624694,"MSTRG.22512","FHL2"
"1412",2126,"MSTRG.10003|RIMBP2",202.634721648052,-2.31870280062787,0.513133653060661,-4.51871123010084,6.22171826029932e-06,0.000129333200411058,"MSTRG.10003","RIMBP2"
"1421",2145,"MSTRG.2424|RIIAD1",40.0716849927619,-1.19468551775976,0.264817949677622,-4.51134645221036,6.44174062298612e-06,0.000132744903970738,"MSTRG.2424","RIIAD1"
"1434",2166,"MSTRG.32181|PCDHA8",17.8650429131404,-2.58089463429035,0.573598785748273,-4.49947715792932,6.81207987091696e-06,0.000139015491437798,"MSTRG.32181","PCDHA8"
"1443",2187,"MSTRG.12858|TTBK2",19.4909109271046,-6.04457022883382,1.34666030980472,-4.48856343713756,7.17050723903973e-06,0.000144924902139933,"MSTRG.12858","TTBK2"
"1445",2189,"MSTRG.34422|TMEM200A",210.848649431023,-1.36854914142269,0.304925858937502,-4.48813736621528,7.18485975454924e-06,0.000145082307387202,"MSTRG.34422","TMEM200A"
"1446",2190,"MSTRG.2550|RUSC1",700.745642372362,-1.03198759349298,0.229948257342773,-4.48791221737612,7.19245515144179e-06,0.000145169361919648,"MSTRG.2550","RUSC1"
"1450",2194,"MSTRG.911|EPHA10",65.8468639868611,-1.65542633476314,0.36898048522945,-4.48648750010103,7.24069632734057e-06,0.000145876599389748,"MSTRG.911","EPHA10"
"1452",2197,"MSTRG.9668|RPH3A",3183.17715936232,-1.42500384517029,0.317749618651445,-4.48467523334291,7.30250725287541e-06,0.000146920994807282,"MSTRG.9668","RPH3A"
"1459",2210,"MSTRG.16086|SLC13A5",151.378230199134,-1.13092079596582,0.252570301984113,-4.47764755825075,7.54700612144781e-06,0.000150946952298749,"MSTRG.16086","SLC13A5"
"1461",2212,"MSTRG.103|TMEM240",104.547443397242,-1.02401719555975,0.228878917769295,-4.47405643796314,7.67494697682617e-06,0.000153367091441985,"MSTRG.103","TMEM240"
"1463",2215,"ENSG00000254793|FDPSP4",4.78076399918031,-1.96030161449476,0.438388202921554,-4.47161123732507,7.76324607115292e-06,0.000154921445976118,"ENSG00000254793","FDPSP4"
